Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time (s)
Logistic Regression,0.8283435499712127,0.13608693691662532,0.7302201790466973,0.22941847206385405,0.861537807365505,4737.476692914963
Decision Tree,0.864860974701121,0.17426745979290592,0.7655456085168159,0.2839068598860424,0.8771870860885854,89.1
Random Forest,0.8778067531411928,0.19081356949864905,0.7689329784660053,0.30575331922262844,0.9050141014810947,144.64
XGBoost,0.9076523182172249,0.24937102264318484,0.815388337769175,0.38193460644868815,0.937228166958182,78.44
LightGBM,0.9252548514918549,0.2978906586310805,0.8371642874425357,0.4394208788417577,0.9537106178970167,83.63
